,pre_id,pre_pt,post_id,post_pt,pre_roots,post_roots
979283,73116768742642876,[ 33427 109821   2830],73116768742642866,[ 33443 109849   2830],648518346703051824,648518346706280104
1002134,73468475024600684,[ 44015 106849   2832],73468475024609718,[ 44007 106827   2832],648518346702207295,648518346706280104
1078188,73046537504515984,[ 30013 113739   2953],73046537504504885,[ 30045 113727   2954],648518346680493298,648518346706280104
1078244,73046537504515932,[ 30133 113735   2957],73046537504509891,[ 30139 113699   2958],648518346726743365,648518346706280104
1080559,73398243853347371,[ 40537 111269   2990],73398243853349791,[ 40547 111241   2991],648518346685342679,648518346706280104
1080617,73398243786343942,[ 40591 111039   2903],73398243786353714,[ 40621 111019   2903],648518346662500681,648518346706280104
1080622,73398243786343942,[ 40591 111033   2903],73398243786353714,[ 40623 111011   2904],648518346662500681,648518346706280104
1080644,73398243786360826,[ 40601 111019   2904],73398243786353714,[ 40641 110999   2905],648518346662500681,648518346706280104
1080787,73398243786309258,[ 40749 111261   2893],73398243786341235,[ 40787 111245   2893],648518346679075677,648518346706280104
1160282,73398106347307863,[ 39963 105611   2869],73398106347284104,[ 39957 105597   2867],648518346661644038,648518346706280104
1160471,73398106347295503,[ 40209 105533   2872],73398106347293553,[ 40213 105569   2873],648518346693601246,648518346706280104
1160525,73398106347295996,[ 40325 105657   2873],73398106347321956,[ 40347 105629   2874],648518346681634775,648518346706280104
1160533,73398106347341468,[ 40321 105627   2883],73398106347317499,[ 40351 105613   2882],648518346693601246,648518346706280104
1160548,73398106347341468,[ 40337 105633   2884],73398106347321956,[ 40381 105627   2884],648518346693601246,648518346706280104
1160553,73398106347502800,[ 40359 105561   2957],73398106347500270,[ 40379 105599   2959],648518346694267455,648518346706280104
1160557,73398106347475342,[ 40357 105577   2940],73398106347465134,[ 40381 105589   2940],648518346694267455,648518346706280104
1160567,73398106347430464,[ 40387 105641   2919],73398106347433042,[ 40413 105633   2918],648518346627943961,648518346706280104
1160678,73398106347401216,[ 40749 105511   2909],73398106347380465,[ 40745 105483   2908],648518346695172676,648518346706280104
1160687,73398106347401216,[ 40751 105507   2909],73398106347380465,[ 40751 105473   2909],648518346695172676,648518346706280104
